City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
159,New Bedford,41.64,-70.93,82.0,74,75,16.11,Clouds,2020-08-02 19:09:29
160,Matay,28.42,30.78,88.75,18,0,6.13,Clear,2020-08-02 19:08:34
161,Vardo,70.37,31.11,50.0,87,75,10.29,Rain,2020-08-02 19:08:14
162,Acapulco,16.86,-99.89,87.8,74,20,9.17,Clouds,2020-08-02 19:07:18
163,College,64.86,-147.8,66.2,72,75,8.05,Clouds,2020-08-02 19:07:40
164,Bathsheba,13.22,-59.52,87.8,70,40,16.11,Clouds,2020-08-02 19:07:54
165,Hobyo,5.35,48.53,79.02,72,90,27.38,Clouds,2020-08-02 19:08:21
166,Huarmey,-10.07,-78.15,67.91,66,4,10.85,Clear,2020-08-02 19:09:30
167,Marovoay,-16.1,46.63,72.45,53,0,10.6,Clear,2020-08-02 19:09:30
168,Kapuskasing,49.42,-82.43,55.4,71,90,14.99,Clouds,2020-08-02 19:08:29
169,Rapid Valley,44.06,-103.15,77.0,38,1,8.05,Clear,2020-08-02 19:09:30
170,Macusani,-14.08,-70.43,55.96,31,7,9.04,Clear,2020-08-02 19:09:30
171,Waipawa,-41.41,175.52,50.0,71,53,9.17,Clouds,2020-08-02 19:09:11
172,Skjervoy,70.03,20.97,59.0,67,0,9.17,Clear,2020-08-02 19:01:07
173,Kamaishi,39.27,141.88,67.69,80,16,7.2,Clouds,2020-08-02 19:09:30
174,Mlimba,-8.8,35.82,70.38,52,16,2.42,Clouds,2020-08-02 19:00:52
175,Kenai,60.55,-151.26,57.99,93,90,6.93,Mist,2020-08-02 19:07:40
176,Kamenka,51.32,42.77,58.75,83,3,3.62,Clear,2020-08-02 19:01:20
177,Otane,-39.88,176.63,42.01,95,100,1.74,Clouds,2020-08-02 19:01:30
178,Sur,22.57,59.53,84.31,70,18,12.08,Clouds,2020-08-02 19:02:45
179,San Benedetto Del Tronto,42.95,13.88,77.0,60,55,12.06,Clouds,2020-08-02 19:09:31
180,Carnarvon,-24.87,113.63,59.0,87,2,10.29,Clear,2020-08-02 19:07:41
181,Hithadhoo,-0.6,73.08,83.05,77,55,11.68,Clouds,2020-08-02 19:07:23
182,Nishihara,26.18,127.76,84.2,83,75,17.22,Clouds,2020-08-02 19:07:45
